service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012025062820250831,1,1,1,1,1,1,1,20250628,20250831
0000000012025062820250909,1,1,1,1,1,1,1,20250628,20250909
0000000012025070120250830,1,1,1,1,1,1,1,20250701,20250830
0000000012025070120250831,1,1,1,1,1,1,1,20250701,20250831
0000000022025062820250831,1,1,1,1,1,1,0,20250628,20250831
0000000022025062820250909,1,1,1,1,1,1,0,20250628,20250909
0000000022025062920250909,1,1,1,1,1,1,0,20250629,20250909
0000000042025062820250909,1,1,1,1,1,0,0,20250628,20250909
0000000072025062820250831,0,0,0,0,0,0,1,20250628,20250831
0000000072025062820250909,0,0,0,0,0,0,1,20250628,20250909
0000000082025062820250909,0,0,0,0,0,0,0,20250628,20250909
0000000392025062820250909,0,1,0,1,0,1,0,20250628,20250909
0000000402025062820250909,0,0,0,0,1,0,0,20250628,20250909
0000000412025062820250909,0,0,1,0,0,0,0,20250628,20250909
0000000502025062820250909,0,0,0,1,0,0,0,20250628,20250909
0000004512025062820250909,0,0,0,0,0,1,0,20250628,20250909
0000005552025062820250909,0,1,1,0,1,0,0,20250628,20250909
0000006272025062820250909,0,1,0,0,0,0,0,20250628,20250909
0000006512025062820250909,1,0,0,0,0,0,0,20250628,20250909
0000006652025062820250909,1,1,1,1,0,0,0,20250628,20250909
