service_id,date,exception_type
0000000022025062820250831,20250815,2
0000000022025062820250909,20250815,2
0000000022025062920250909,20250815,2
0000000042025062820250909,20250815,2
0000000072025062820250831,20250815,1
0000000072025062820250909,20250815,1
0000000392025062820250909,20250815,2
0000000402025062820250909,20250815,2
0000000412025062820250909,20250815,2
0000000502025062820250909,20250815,2
0000004512025062820250909,20250815,2
0000005552025062820250909,20250815,2
0000006272025062820250909,20250815,2
0000006512025062820250909,20250815,2
0000006652025062820250909,20250815,2
