route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
636,0000000022025062820250909,0003281792025062820250909,Campo Carlo Magno,0,SHAPE00133
683,0000000012025062820250909,0003274352025062820250909,Parcheggio,1,SHAPE00008
357,0000000022025062820250909,0003300432025062820250909,Lanza di Rumo,0,SHAPE00305
634,0000000022025062820250909,0003284532025062820250909,Rovereto. Via Paoli,1,SHAPE00291
520,0000000022025062820250909,0003291682025062820250909,Trento. Autostazione,1,SHAPE00609
194,0000000022025062820250909,0003283512025062820250909,Rovereto. Via Manzoni,1,SHAPE02049
332,0000000022025062820250909,0003298422025062820250909,Fucine,1,SHAPE00125
549,0000000042025062820250909,0003292522025062820250909,Pergine V. Intermodale,1,SHAPE00228
250,0000000502025062820250909,0003293362025062820250909,Canal S. Bovo,0,SHAPE01308
658,0000000072025062820250909,0003295482025062820250909,Mezzolombardo,1,SHAPE00361
102,0000000022025062820250909,0003293402025062820250909,S.Martino di Castrozza,1,SHAPE00115
420,0000000022025062820250909,0003305272025062820250909,Riva Del G. Autostazione,0,SHAPE00050
364,0000000022025062820250909,0003296902025062820250909,Fondo. Via Garibaldi,0,SHAPE02446
60,0000000022025062820250909,0003271632025062820250909,Verla,1,SHAPE00528
181,0000000042025062820250909,0003283902025062820250909,Trento. Autostazione,1,SHAPE00636
241,0000000022025062820250909,0003272542025062820250909,Cavalese. Autostazione,1,SHAPE01011
198,0000000022025062820250909,0003286212025062820250909,Zoreri-Soldati,0,SHAPE00843
562,0000004512025062820250909,0003311152025062820250909,S.Vito di Pergine,0,SHAPE00117
71,0000000022025062820250909,0003275702025062820250909,Ponte Arche Autostazione,1,SHAPE00011
175,0000000042025062820250909,0003278702025062820250909,Vigo Cavedine,0,SHAPE00485
375,0000000022025062820250909,0003296662025062820250909,Cles. Autostazione,1,SHAPE01696
352,0000000022025062820250909,0003303322025062820250909,Mezzana. Ftm,0,
110,0000000022025062820250909,0003285272025062820250909,Trento. Autostazione,1,SHAPE00034
658,0000000042025062820250909,0003296062025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00038
721,0000000012025062820250909,0003301282025062820250909,Rabbi Coler,0,SHAPE00269
71,0000000022025062820250909,0003279672025062820250909,Tione. Autostazione,0,SHAPE00075
520,0000000042025062820250909,0003290162025062820250909,Trento. Autostazione,1,SHAPE00891
549,0000000042025062820250909,0003291982025062820250909,Nogare',0,SHAPE00740
520,0000000012025062820250909,0003291152025062820250909,Borgo Valsugana-C.Intermodale,0,SHAPE02186
3,0000000022025062820250909,0003270752025062820250909,Cavalese. Autostazione,0,SHAPE00080
423,0000000022025062820250909,0003305382025062820250909,Riva Del G. Autostazione,0,SHAPE00016
67,0000000022025062820250909,0003269372025062820250909,Cavalese. Autostazione,1,SHAPE01248
352,0000000022025062820250909,0003303572025062820250909,Trento Ftm,1,
663,0000000012025062820250909,0003273592025062820250909,Penia. Str. Pian Trevisan,1,SHAPE00156
110,0000000022025062820250909,0003284552025062820250909,Masi D'avio,0,SHAPE01218
237,0000000022025062820250909,0003276122025062820250909,Viote. Parcheggio,0,SHAPE00893
357,0000000072025062820250909,0003300352025062820250909,Lanza di Rumo,0,SHAPE00305
102,0000000022025062820250909,0003294162025062820250909,Feltre. Staz. Fs,0,SHAPE00204
658,0000000022025062820250909,0003297732025062820250909,Fai Paganella-Sud,1,SHAPE00511
520,0000000022025062820250909,0003289842025062820250909,Trento. Autostazione,1,SHAPE00891
332,0000000022025062820250909,0003298792025062820250909,Passo Tonale,0,SHAPE00232
364,0000000072025062820250909,0003296962025062820250909,Fondo. Via Garibaldi,0,SHAPE00483
340,0000004512025062820250909,0003273182025062820250909,Rovere'. Trentinalatte,0,SHAPE00774
175,0000000042025062820250909,0003276852025062820250909,Vezzano. Apt,1,SHAPE00612
110,0000004512025062820250909,0003284432025062820250909,Trento. Autostazione,1,SHAPE00034
357,0000000072025062820250909,0003300272025062820250909,Lanza di Rumo,0,SHAPE00305
169,0000000022025062820250909,0003288752025062820250909,Borgo Valsugana-C.Intermodale,1,SHAPE00200
368,0000000072025062820250909,0003297812025062820250909,Sfruz,0,SHAPE00345
554,0000000042025062820250909,0003292262025062820250909,Ischia di Pergine,0,SHAPE01155
186,0000000072025062820250909,0003287352025062820250909,Trento. Autostazione,1,SHAPE02649
658,0000000022025062820250909,0003311742025062820250909,Molveno,0,SHAPE00385
186,0000000042025062820250909,0003284962025062820250909,Trento. Autostazione,1,SHAPE00071
186,0000000042025062820250909,0003287182025062820250909,Centa,1,SHAPE01029
120,0000000022025062820250909,0003270402025062820250909,Cavalese. Autostazione,0,SHAPE01900
231,0000000042025062820250909,0003282762025062820250909,Rovereto. Via Manzoni,1,SHAPE00659
721,0000000012025062820250909,0003301302025062820250909,Rabbi Coler,0,SHAPE00269
683,0000000072025062820250831,0003274552025062820250831,Passo Pordoi,0,SHAPE00194
243,0000000012025062820250909,0003273072025062820250909,Cavalese. Autostazione,1,SHAPE00288
658,0000000072025062820250909,0003311772025062820250909,S.Michele,1,SHAPE00031
634,0000000042025062820250909,0003285882025062820250909,Riva Del G.Autostazione,0,SHAPE00138
683,0000000012025062820250909,0003274602025062820250909,Parcheggio,1,SHAPE00008
181,0000000022025062820250909,0003283802025062820250909,Aldeno,0,SHAPE00365
78,0000000022025062820250909,0003277182025062820250909,Margone,0,SHAPE00215
71,0000000022025062820250909,0003278922025062820250909,Tione. Autostazione,0,SHAPE00242
