pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_prov,den_cm,den_uts,sigla,tipo_uts,den_reg,den_rip,ontopia
2760,2,4,22,0,22,22001,022001,Ala,,0,63783.4639024,119965942.878,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022001
2761,2,4,22,0,22,22002,022002,Albiano,,0,12660.3417938,9692853.13037,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022002
2762,2,4,22,0,22,22003,022003,Aldeno,,0,13731.2773754,9000210.02959,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022003
2763,2,4,22,0,22,22005,022005,Andalo,,0,21719.7262105,11563395.9088,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022005
2764,2,4,22,0,22,22006,022006,Arco,,0,46560.0664977,63232621.3309,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022006
2765,2,4,22,0,22,22007,022007,Avio,,0,41277.5273399,68737326.6124,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022007
2766,2,4,22,0,22,22009,022009,Baselga di Pinè,,0,38136.3668696,41478655.6682,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022009
2767,2,4,22,0,22,22011,022011,Bedollo,,0,25605.7186546,27167640.88,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022011
2768,2,4,22,0,22,22013,022013,Besenello,,0,34161.9730927,25953084.3893,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022013
2769,2,4,22,0,22,22015,022015,Bieno,,0,16136.2344121,11896714.7664,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022015
