WKT;id;fumetto;desc;cicloposteggi;tipologia
"POINT (663132.531704803 5104569.75162677)";"20";ZUFFO 2 - VIA DOS TRENTO;ZUFFO 2 - VIA DOS TRENTO;"12";linea
"POINT (663455.435572973 5104131.47864586)";"30";PIEDICASTELLO in piazza di Piedicastello nel giardino Andrea Hofler;PIEDICASTELLO in piazza di Piedicastello nel giardino Andrea Hofler;"12";linea
"POINT (663964.006411279 5104033.36263185)";"6";STAZIONE AUTOCORRIERE via Pozzo/via Torre Vanga;STAZIONE AUTOCORRIERE via Pozzo/via Torre Vanga;"22";linea
"POINT (663773.252379021 5106250.20074802)";"2";TOP CENTER;TOP CENTER;"24";linea
"POINT (663696.437762683 5106760.87569738)";"1";BREN CENTER via Guardini;BREN CENTER via Guardini;"18";linea
"POINT (664232.006337707 5104613.62267215)";"3";PIAZZA DI CENTA;PIAZZA DI CENTA;"12";vis a vis
"POINT (664658.019265496 5101181.57663799)";"12";AZIENDA SANITARIA via Degasperi;AZIENDA SANITARIA via Degasperi;"18";linea
"POINT (664782.806458357 5097026.29437505)";"41";MATTARELLO - piazza Q. PERINI;MATTARELLO - piazza Q. PERINI;"6";vis a vis
"POINT (664833.682563949 5102510.03324016)";"10";PISCINA via Fogazzaro/via Gocciadoro;PISCINA via Fogazzaro/via Gocciadoro;"12";linea
"POINT (664267.456462531 5103285.78161812)";"9";CENTRO S. CHIARA via S. Croce;CENTRO S. CHIARA via S. Croce;"18";vis a vis
"POINT (663881.855060689 5103601.37800356)";"8";UNIVERSITA' via Rosmini;UNIVERSITA' via Rosmini;"18";linea
"POINT (664045.825128167 5104061.66420457)";"7";BIBLIOTECA via Torre Vanga/via Alfieri;BIBLIOTECA via Torre Vanga/via Alfieri;"24";vis a vis
"POINT (664495.878769758 5103757.6375725)";"4";PIAZZA VENEZIA;PIAZZA VENEZIA;"24";linea
"POINT (663647.330850107 5103059.26677977)";"15";MUSE corso del Lavoro e della Scienza;MUSE corso del Lavoro e della Scienza;"12";linea
