service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012025061320250909,1,1,1,1,1,1,1,20250613,20250909
0000000022025061320250909,1,1,1,1,1,1,0,20250613,20250909
0000000052025061320250909,0,0,0,0,0,0,1,20250613,20250909
0000000092025061320250909,1,1,1,1,1,0,0,20250613,20250909
0000000252025061320250909,0,0,0,0,0,1,0,20250613,20250909
0000000522025061320250909,1,1,1,1,1,1,0,20250613,20250909
0000000532025061320250909,1,1,1,1,1,0,0,20250613,20250909
0000000552025061320250909,1,1,1,1,1,0,0,20250613,20250909
0000000592025061320250909,1,1,1,1,1,1,0,20250613,20250909
0000000592025081120250909,1,1,1,1,1,1,0,20250811,20250909
0000000622025061320250909,0,0,0,0,0,0,1,20250613,20250909
0000000662025061320250909,1,1,1,1,1,0,0,20250613,20250909
0000000822025061320250909,0,0,0,0,0,1,0,20250613,20250909
0000001402025061320250909,1,1,1,1,1,1,1,20250613,20250909
0000001442025061320250909,1,1,1,1,1,1,0,20250613,20250909
0000001462025061320250909,1,1,1,1,1,0,0,20250613,20250909
0000001642025061320250909,0,0,0,0,0,1,0,20250613,20250909
0000001752025061320250909,1,1,1,1,1,0,0,20250613,20250909
