service_id,date,exception_type
0000000022025061320250909,20250815,2
0000000052025061320250909,20250815,1
0000000092025061320250909,20250815,2
0000000252025061320250909,20250815,2
0000000522025061320250909,20250812,1
0000000522025061320250909,20250813,1
0000000522025061320250909,20250814,1
0000000522025061320250909,20250815,2
0000000522025061320250909,20250816,1
0000000522025061320250909,20250818,1
0000000522025061320250909,20250819,1
0000000522025061320250909,20250820,1
0000000522025061320250909,20250821,1
0000000522025061320250909,20250822,1
0000000522025061320250909,20250823,1
0000000522025061320250909,20250825,1
0000000522025061320250909,20250826,1
0000000522025061320250909,20250827,1
0000000522025061320250909,20250828,1
0000000522025061320250909,20250829,1
0000000522025061320250909,20250830,1
0000000522025061320250909,20250901,1
0000000522025061320250909,20250902,1
0000000522025061320250909,20250903,1
0000000522025061320250909,20250904,1
0000000522025061320250909,20250905,1
0000000522025061320250909,20250906,1
0000000522025061320250909,20250908,1
0000000522025061320250909,20250909,1
0000000532025061320250909,20250815,2
0000000552025061320250909,20250812,2
0000000552025061320250909,20250813,2
0000000552025061320250909,20250814,2
0000000552025061320250909,20250815,2
0000000552025061320250909,20250818,2
0000000552025061320250909,20250819,2
0000000552025061320250909,20250820,2
0000000552025061320250909,20250821,2
0000000552025061320250909,20250822,2
0000000592025061320250909,20250815,2
0000000592025061320250909,20250816,2
0000000592025081120250909,20250815,2
0000000592025081120250909,20250816,2
0000000622025061320250909,20250815,1
0000000622025061320250909,20250816,1
0000000662025061320250909,20250815,2
0000000662025061320250909,20250816,2
0000000822025061320250909,20250815,2
0000000822025061320250909,20250816,2
0000001442025061320250909,20250815,2
0000001442025061320250909,20250908,2
0000001462025061320250909,20250815,2
0000001462025061320250909,20250908,2
0000001642025061320250909,20250812,1
0000001642025061320250909,20250813,1
0000001642025061320250909,20250814,1
0000001642025061320250909,20250815,2
0000001642025061320250909,20250816,1
0000001642025061320250909,20250818,1
0000001642025061320250909,20250819,1
0000001642025061320250909,20250820,1
0000001642025061320250909,20250821,1
0000001642025061320250909,20250822,1
0000001642025061320250909,20250823,1
0000001642025061320250909,20250825,1
0000001642025061320250909,20250826,1
0000001642025061320250909,20250827,1
0000001642025061320250909,20250828,1
0000001642025061320250909,20250829,1
0000001642025061320250909,20250830,1
0000001642025061320250909,20250901,1
0000001642025061320250909,20250902,1
0000001642025061320250909,20250903,1
0000001642025061320250909,20250904,1
0000001642025061320250909,20250905,1
0000001642025061320250909,20250906,1
0000001642025061320250909,20250908,1
0000001642025061320250909,20250909,1
0000001752025061320250909,20250812,2
0000001752025061320250909,20250813,2
0000001752025061320250909,20250814,2
0000001752025061320250909,20250815,2
0000001752025061320250909,20250818,2
0000001752025061320250909,20250819,2
0000001752025061320250909,20250820,2
0000001752025061320250909,20250821,2
0000001752025061320250909,20250822,2
0000001752025061320250909,20250825,2
0000001752025061320250909,20250826,2
0000001752025061320250909,20250827,2
0000001752025061320250909,20250828,2
0000001752025061320250909,20250829,2
